gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),ACTB,ACTB,ACTB,ACTB,CTCF,EP300,SMAD1
0.1,I2959,0.0025,30,1500,27G,2,,,,,,,
0.1,I2959,0.0025,50,1500,27G,2,,,,,,,
0.1,I2959,0.0025,70,1500,27G,2,,,,,,,
0.1,I2959,0.0025,90,1500,27G,2,,,,,,,
0.125,I2959,0.0025,30,1500,27G,2,,,,,,,
0.125,I2959,0.0025,50,1500,27G,2,,,,,,,
0.125,I2959,0.0025,70,1500,27G,2,,,,,,,
0.125,I2959,0.0025,90,1500,27G,2,,,,,,,
0.15,I2959,0.0025,30,1500,27G,2,,,,,,,
0.15,I2959,0.0025,50,1500,27G,2,,,,,,,
0.15,I2959,0.0025,70,1500,27G,2,,,,,,,
0.15,I2959,0.0025,90,1500,27G,2,,,,,,,
0.175,I2959,0.0025,30,1500,27G,2,,,,,,,
0.175,I2959,0.0025,50,1500,27G,2,,,,,,,
0.175,I2959,0.0025,70,1500,27G,2,,,,,,,
0.175,I2959,0.0025,90,1500,27G,2,,,,,,,
0.1,I2959,0.005,30,1500,27G,2,,,,,,,
0.1,I2959,0.005,50,1500,27G,2,,,,,,,
0.1,I2959,0.005,70,1500,27G,2,,,,,,,
0.1,I2959,0.005,90,1500,27G,2,,,,,,,
0.125,I2959,0.005,30,1500,27G,2,,,,,,,
0.125,I2959,0.005,50,1500,27G,2,,,,,,,
0.125,I2959,0.005,70,1500,27G,2,,,,,,,
0.125,I2959,0.005,90,1500,27G,2,,,,,,,
0.15,I2959,0.005,30,1500,27G,2,,,,,,,
0.15,I2959,0.005,50,1500,27G,2,,,,,,,
0.15,I2959,0.005,70,1500,27G,2,,,,,,,
0.15,I2959,0.005,90,1500,27G,2,,,,,,,
0.175,I2959,0.005,30,1500,27G,2,,,,,,,
0.175,I2959,0.005,50,1500,27G,2,,,,,,,
0.175,I2959,0.005,70,1500,27G,2,,,,,,,
0.175,I2959,0.005,90,1500,27G,2,,,,,,,
0.1,LAP,0.0025,30,1500,27G,2,22.6,23.98,24.21,22.62,27.17,28.06,28.3
0.1,LAP,0.0025,50,1500,27G,2,20.55,21.9,22.35,20.94,26.99,28.28,28.27
0.1,LAP,0.0025,70,1500,27G,2,21.5,22.51,22.58,21.86,27.2,28.19,28.45
0.1,LAP,0.0025,90,1500,27G,2,23.21,24.65,24.5,23.53,27.78,28.38,28.11
0.125,LAP,0.0025,30,1500,27G,2,22.37,24.27,23.94,23.25,27.63,28.14,28.11
0.125,LAP,0.0025,50,1500,27G,2,21.15,22.64,22.46,22.13,27.47,28.59,28.52
0.125,LAP,0.0025,70,1500,27G,2,20.55,22.05,22.64,21.15,27.43,28.47,28.58
0.125,LAP,0.0025,90,1500,27G,2,21.95,24.16,24.06,22.82,27.48,28.19,28.23
0.15,LAP,0.0025,30,1500,27G,2,23.1,23.82,24.17,22.99,27.16,27.99,27.86
0.15,LAP,0.0025,50,1500,27G,2,21.12,21.93,22.39,21.13,27.37,28.19,28.24
0.15,LAP,0.0025,70,1500,27G,2,21.59,23.37,23.23,22.06,27.68,28.88,28.5
0.15,LAP,0.0025,90,1500,27G,2,23.3,24.31,24.34,23.53,27.3,28.13,28.05
0.175,LAP,0.0025,30,1500,27G,2,22.73,24.12,24.02,23.64,27.24,28.19,27.97
0.175,LAP,0.0025,50,1500,27G,2,20.92,22.95,22.52,21.96,27.86,28.93,28.61
0.175,LAP,0.0025,70,1500,27G,2,20.29,21.85,22.28,20.78,27.64,28.55,28.52
0.175,LAP,0.0025,90,1500,27G,2,21.62,23.28,23.37,22.37,27.39,27.9,27.91
0.1,LAP,0.005,30,1500,27G,2,22.78,23.91,24.29,22.74,26.97,27.64,27.78
0.1,LAP,0.005,50,1500,27G,2,21.07,22.02,22.47,21.16,26.78,28.67,28.84
0.1,LAP,0.005,70,1500,27G,2,21.42,22.72,22.62,22.09,26.84,28.62,28.91
0.1,LAP,0.005,90,1500,27G,2,23.08,24.33,24.37,23.33,27.11,27.7,27.93
0.125,LAP,0.005,30,1500,27G,2,23.02,24.62,24.35,23.9,27.44,27.91,28.02
0.125,LAP,0.005,50,1500,27G,2,20.96,22.6,22.14,22.09,27.08,28.63,28.98
0.125,LAP,0.005,70,1500,27G,2,20.41,22.22,22.66,21.26,27.1,28.81,29.09
0.125,LAP,0.005,90,1500,27G,2,22.69,24.99,25.29,23.3,28.12,29.26,28.25
0.15,LAP,0.005,30,1500,27G,2,23.21,24.14,24.43,23.04,27.24,28.16,28.1
0.15,LAP,0.005,50,1500,27G,2,20.89,21.97,22.52,20.82,27.99,28.61,28.82
0.15,LAP,0.005,70,1500,27G,2,21.45,22.8,22.91,21.86,28.31,29.42,29.1
0.15,LAP,0.005,90,1500,27G,2,23.45,24.62,24.4,23.77,27.25,28.37,27.93
0.175,LAP,0.005,30,1500,27G,2,21.27,22.71,22.25,22.23,27.67,28.26,28.38
0.175,LAP,0.005,50,1500,27G,2,20.86,22.4,22.14,21.77,27.99,28.61,28.82
0.175,LAP,0.005,70,1500,27G,2,20.47,21.73,22.39,20.93,27.81,28.56,28.72
0.175,LAP,0.005,90,1500,27G,2,20.83,22.06,22.42,21.24,27.49,28.02,28.32
